"General Name","LOINC Code","Fully-Specified Name (FSN)","Long Common Name"
"Leptospira sp IgM antibody, Blood","51819-1","Leptospira sp Ab.IgM:ACnc:Pt:Ser:Qn:IA","Leptospira sp IgM Ab [Units/volume] in Serum by Immunoassay"
"Rubella virus IgM antibody, Blood","5335-5","Rubella virus Ab.IgM:ACnc:Pt:Ser:Qn:IA","Rubella virus IgM Ab [Units/volume] in Serum by Immunoassay"
"Intrinsic factor IgG antibody, Blood","60221-9","Intrinsic factor Ab.IgG:ACnc:Pt:Ser:Qn","Intrinsic factor IgG Ab [Units/volume] in Serum"
"Neisseria meningitidis serogroup B antigen, Urine","17328-6","Neisseria meningitidis serogroup B Ag:PrThr:Pt:Urine:Ord:LA","Neisseria meningitidis serogroup B Ag [Presence] in Urine by Latex agglutination"
"Neisseria meningitidis serogroup B antigen, Spinal fluid","6498-0","Neisseria meningitidis serogroup B Ag:PrThr:Pt:CSF:Ord:LA","Neisseria meningitidis serogroup B Ag [Presence] in Cerebral spinal fluid by Latex agglutination"
"Neisseria meningitidis serogroups A+C+w135+Y antigen, Spinal fluid","19133-8","Neisseria meningitidis serogroups A+C+w135+Y Ag:PrThr:Pt:CSF:Ord:LA","Neisseria meningitidis serogroups A+C+w135+Y Ag [Presence] in Cerebral spinal fluid by Latex agglutination"
"Lidocaine allergy test","41850-9","Lidocaine Ab.IgE:ACnc:Pt:Ser:Qn","Lidocaine IgE Ab [Units/volume] in Serum"
"Insulin after Meal, Blood","47862-8","Insulin^post meal:ACnc:Pt:Ser/Plas:Qn","Insulin [Units/volume] in Serum or Plasma --post meal"
"Muscle specific receptor tyrosine kinase antibody, Blood","57436-8","Muscle specific receptor tyrosine kinase Ab:ACnc:Pt:Ser:Qn:IA","Muscle specific receptor tyrosine kinase Ab [Units/volume] in Serum by Immunoassay"
"Norepinephrine, Urine","2668-2","Norepinephrine:MRat:24H:Urine:Qn","Norepinephrine [Mass/time] in 24 hour Urine"
"Interpretation of Catecholamines test result, Blood","49257-9","Catecholamines:Imp:Pt:Plas:Nar","Catecholamines [Interpretation] in Plasma Narrative"
"Mumps virus IgM antibody, Blood","6478-2","Mumps virus Ab.IgM:PrThr:Pt:Ser:Ord:IA","Mumps virus IgM Ab [Presence] in Serum by Immunoassay"
"Interleukin 6, Blood","26881-3","Interleukin 6:MCnc:Pt:Ser/Plas:Qn","Interleukin 6 [Mass/volume] in Serum or Plasma"
"Leptin, Blood","21365-2","Leptin:MCnc:Pt:Ser/Plas:Qn","Leptin [Mass/volume] in Serum or Plasma"
"Neisseria meningitidis serogroup C antigen, Specimen","30096-2","Neisseria meningitidis serogroup C Ag:PrThr:Pt:XXX:Ord:LA","Neisseria meningitidis serogroup C Ag [Presence] in Specimen by Latex agglutination"
"NAME OF THE DONOR","92045-4","Name:Pn:Pt:^Donor:Nom","Name of Donor"
"Lutropin (LH; Luteinizing Hormone)/Follitropin, Blood","34434-1","Lutropin/Follitropin:Ratio:Pt:Ser/Plas:Qn","Lutropin/Follitropin [Ratio] in Serum or Plasma"
"Mumps virus IgG antibody specimen 1, Blood","24240-4","Mumps virus Ab.IgG^1st specimen:ACnc:Pt:Ser:Qn","Mumps virus IgG Ab [Units/volume] in Serum --1st specimen"
"Jo-1 extractable nuclear antibody, Blood","5234-0","Jo-1 extractable nuclear Ab:PrThr:Pt:Ser:Ord:IA","Jo-1 extractable nuclear Ab [Presence] in Serum by Immunoassay"
"Myoglobin, Blood","2639-3","Myoglobin:MCnc:Pt:Ser/Plas:Qn","Myoglobin [Mass/volume] in Serum or Plasma"
"Neisseria meningitidis serogroup Y antigen, Specimen","30098-8","Neisseria meningitidis serogroup Y Ag:PrThr:Pt:XXX:Ord:LA","Neisseria meningitidis serogroup Y Ag [Presence] in Specimen by Latex agglutination"
"Neisseria meningitidis serogroup Y antigen, Spinal fluid","6505-2","Neisseria meningitidis serogroup Y Ag:PrThr:Pt:CSF:Ord:LA","Neisseria meningitidis serogroup Y Ag [Presence] in Cerebral spinal fluid by Latex agglutination"
"Liver kidney microsomal antibody, Blood","11566-7","Liver kidney microsomal Ab:ACnc:Pt:Ser:Qn","Liver kidney microsomal Ab [Units/volume] in Serum"
"Mycoplasma pneumoniae IgM antibody, Blood","5256-3","Mycoplasma pneumoniae Ab.IgM:ACnc:Pt:Ser:Qn:IA","Mycoplasma pneumoniae IgM Ab [Units/volume] in Serum by Immunoassay"
"Neisseria meningitidis serogroup w135 antigen, Spinal fluid","6507-8","Neisseria meningitidis serogroup w135 Ag:PrThr:Pt:CSF:Ord:LA","Neisseria meningitidis serogroup w135 Ag [Presence] in Cerebral spinal fluid by Latex agglutination"
"Neisseria meningitidis serogroup A antigen, Specimen","30094-7","Neisseria meningitidis serogroup A Ag:PrThr:Pt:XXX:Ord:LA","Neisseria meningitidis serogroup A Ag [Presence] in Specimen by Latex agglutination"
"Osteocalcin, Blood","2697-1","Osteocalcin:MCnc:Pt:Ser/Plas:Qn","Osteocalcin [Mass/volume] in Serum or Plasma"
"Pepsinogen II, Blood","2738-3","Pepsinogen II:MCnc:Pt:Ser/Plas:Qn","Pepsinogen II [Mass/volume] in Serum or Plasma"
"Rubella virus IgG antibody, Blood","5334-8","Rubella virus Ab.IgG:ACnc:Pt:Ser/Plas:Qn:IA","Rubella virus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay"
"Plasmodium vivax antigen, Blood","31931-9","Plasmodium vivax Ag:ACnc:Pt:Bld:Qn","Plasmodium vivax Ag [Units/volume] in Blood"
"Enolase.neuron specific, Blood","57371-7","Enolase.neuron specific:MCnc:Pt:Ser/Plas:Qn:IA","Enolase.neuron specific [Mass/volume] in Serum or Plasma by Immunoassay"
"Penicillin G allergy test","6851-0","Penicillin G Ab.IgE:ACnc:Pt:Ser:Qn","Penicillin G IgE Ab [Units/volume] in Serum"
"Mycoplasma pneumoniae IgG antibody, Blood","5255-5","Mycoplasma pneumoniae Ab.IgG:ACnc:Pt:Ser:Qn:IA","Mycoplasma pneumoniae IgG Ab [Units/volume] in Serum by Immunoassay"
"Natriuretic Peptide.B Prohormone N-Terminal, Blood","83107-3","Natriuretic peptide.B prohormone N-Terminal:MCnc:Pt:Ser/Plas:Qn:IA","Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma by Immunoassay"
"Renin, Blood","2915-7","Renin:CCnc:Pt:Plas:Qn","Renin [Enzymatic activity/volume] in Plasma"
"Placental growth factor, Blood","74755-0","Placental growth factor:MCnc:Pt:Ser:Qn","Placental growth factor [Mass/volume] in Serum"
"Protein C antigen activity, Blood","27820-0","Protein C Ag actual/Normal:RelMCnc:Pt:PPP:Qn:IA","Protein C Ag actual/normal in Platelet poor plasma by Immunoassay"
"Procalcitonin, Blood","75241-0","Procalcitonin:MCnc:Pt:Ser/Plas:Qn:IA","Procalcitonin [Mass/volume] in Serum or Plasma by Immunoassay"
"Red Blood Cell (RBC) Count, Pericardial fluid","30388-3","Erythrocytes:NCnc:Pt:Pericard fld:Qn","Erythrocytes [#/volume] in Pericardial fluid"
"Norepinephrine, Blood","2666-6","Norepinephrine:MCnc:Pt:Plas:Qn","Norepinephrine [Mass/volume] in Plasma"
"Pepsinogen I, Blood","2736-7","Pepsinogen I:MCnc:Pt:Ser/Plas:Qn","Pepsinogen I [Mass/volume] in Serum or Plasma"
"Parvovirus B19 IgG antibody, Blood","7983-0","Parvovirus B19 Ab.IgG:ACnc:Pt:Ser:Qn","Parvovirus B19 IgG Ab [Units/volume] in Serum"
"Proinsulin, Blood","27882-0","Proinsulin:SCnc:Pt:Ser/Plas:Qn","Proinsulin [Moles/volume] in Serum or Plasma"
"Rickettsia (Proteus OX19) antibody, Blood","21489-0","Rickettsia (Proteus OX19) Ab:Titr:Pt:Ser:SemiQn:LA","Rickettsia (Proteus OX19) Ab [Titer] in Serum by Latex agglutination"
"Osmotic fragility full hemolysis, Red blood cells","50795-4","Osmotic fragility.full hemolysis:NFr:Pt:RBC:Qn","Osmotic fragility full hemolysis of Red Blood Cells"
"Rickettsia typhi IgM antibody, Blood","33001-9","Rickettsia typhi Ab.IgM:PrThr:Pt:Ser:Ord","Rickettsia typhi IgM Ab [Presence] in Serum"
"Folate, Red blood cells","2283-0","Folate:MCnc:Pt:RBC:Qn","Folate [Mass/volume] in Red Blood Cells"
"Propoxyphene, Urine","19141-1","Propoxyphene:PrThr:Pt:Urine:Ord","Propoxyphene [Presence] in Urine"
"Filaria antigen, Blood","42928-2","Filaria Ag:PrThr:Pt:Ser:Ord","Filaria Ag [Presence] in Serum"
"Plasmodium falciparum antigen, Blood","76772-3","Plasmodium falciparum Ag:PrThr:Pt:Bld:Ord:IA.rapid","Plasmodium falciparum Ag [Presence] in Blood by Rapid immunoassay"
"RSV, Respiratory","92131-2","Respiratory syncytial virus RNA:PrThr:Pt:Respiratory System Specimen:Ord:Probe.amp.tar","Respiratory syncytial virus RNA [Presence] in Respiratory specimen by NAA with probe detection"
"Protein S actual/normal, Blood","31102-7","Protein S actual/Normal:RelCCnc:Pt:PPP:Qn:Chromo","Protein S actual/normal in Platelet poor plasma by Chromogenic method"
"Interpretation of Red blood cell shape test result, Urine sediment","53974-2","Erythrocyte morphology:Imp:Pt:Urine sed:Nar:Microscopy.light","Erythrocyte morphology [Interpretation] in Urine sediment by Light microscopy Narrative"
"Lab observation result status","92236-9","Lab observation result status:Type:Pt:^Patient:Nom","Lab observation result status"
"Susceptibility to Fosfomycin","25596-8","Fosfomycin:Susc:Pt:Isolate:OrdQn","Fosfomycin [Susceptibility]"
"Reticulin antibody, Blood","17521-6","Reticulin Ab:PrThr:Pt:Ser:Ord","Reticulin Ab [Presence] in Serum"
"Retinol binding protein, Blood","1836-6","Retinol binding protein:MCnc:Pt:Ser/Plas:Qn","Retinol binding protein [Mass/volume] in Serum or Plasma"
"Osmotic fragility beginning hemolysis, Red blood cells","50794-7","Osmotic fragility.beginning hemolysis:NFr:Pt:RBC:Qn","Osmotic fragility beginning hemolysis of Red Blood Cells"
"Red blood cell morphology finding, Blood","6742-1","Erythrocyte morphology finding:Prid:Pt:Bld:Nom","Erythrocyte morphology finding [Identifier] in Blood"
"Haloperidol reduced, Blood","38364-6","Haloperidol.reduced:MCnc:Pt:Ser/Plas:Qn","Haloperidol reduced [Mass/volume] in Serum or Plasma"
"Rubella virus IgG antibody, Blood","8014-3","Rubella virus Ab.IgG:ACnc:Pt:Ser:Qn","Rubella virus IgG Ab [Units/volume] in Serum"
"HLA-B*57:01, Blood or tissue specimen","50956-2","HLA-B*57:01:PrThr:Pt:Bld/Tiss:Ord","HLA-B*57:01 [Presence]"
"Red Blood Cell (RBC) Count, Blood","790-6","Erythrocytes:NCnc:Pt:Bld:Qn:Manual count","Erythrocytes [#/volume] in Blood by Manual count"
"Salmon allergy test","6237-2","Salmo salar Ab.IgE:ACnc:Pt:Ser:Qn","Salmon IgE Ab [Units/volume] in Serum"
"Reticulin antibody, Blood","51722-7","Reticulin Ab:Titr:Pt:Ser:SemiQn:IF","Reticulin Ab [Titer] in Serum by Immunofluorescence"
"Red Blood Cell (RBC) Count, Semen","58767-5","Erythrocytes:Naric:Pt:Semen:Qn:Microscopy.light.HPF","Erythrocytes [#/area] in Semen by Microscopy high power field"
"Rice allergy test","6230-7","Oryza sativa Ab.IgE:ACnc:Pt:Ser:Qn","Rice IgE Ab [Units/volume] in Serum"
"Rye allergy test","7674-5","Secale cereale Ab.IgE:ACnc:Pt:Ser:Qn","Rye IgE Ab [Units/volume] in Serum"
"Rotavirus antigen, Stool","5880-0","Rotavirus Ag:PrThr:Pt:Stool:Ord:IA","Rotavirus Ag [Presence] in Stool by Immunoassay"
"Rubella virus, Specimen","54091-4","Rubella virus RNA:PrThr:Pt:XXX:Ord:Probe.amp.tar","Rubella virus RNA [Presence] in Specimen by NAA with probe detection"
"Salmonella paratyphi B H antibody, Blood","21513-7","Salmonella paratyphi B H Ab:Titr:Pt:Ser:SemiQn:Aggl","Salmonella paratyphi B H Ab [Titer] in Serum by Agglutination"
"Rubella virus, Lower respiratory","91823-5","Rubella virus RNA:PrThr:Pt:Respiratory system specimen.lower:Ord:Probe.amp.tar","Rubella virus RNA [Presence] in Lower respiratory specimen by NAA with probe detection"
"SARS-CoV-2 (COVID-19), Saliva","94845-5","SARS coronavirus 2 RNA:PrThr:Pt:Saliva:Ord:Probe.amp.tar","SARS-CoV-2 (COVID-19) RNA [Presence] in Saliva (oral fluid) by NAA with probe detection"
"Mycobacterium tuberculosis rifAMPin resistance gene, Sputum","33634-7","Mycobacterium tuberculosis rifAMPin resistance gene:Prid:Pt:Sputum:Nom:Probe.amp.tar","Mycobacterium tuberculosis rifAMPin resistance gene [Identifier] in Sputum by NAA with probe detection"
"Renin, Blood","30895-7","Renin:ACnc:Pt:Plas:Qn","Renin [Units/volume] in Plasma"
"Mycobacterium tuberculosis complex rpoB gene rifAMPin resistance mutation test","46244-0","Mycobacterium tuberculosis complex rpoB gene rifAMPin resistance mutation identified:Prid:Pt:Isolate/Specimen:Nom:Molgen","Mycobacterium tuberculosis complex rpoB gene rifAMPin resistance mutation identified by Molecular method"
"SARS-CoV-2 (COVID-19), Nose","95406-5","SARS coronavirus 2 RNA:PrThr:Pt:Nose:Ord:Probe.amp.tar","SARS-CoV-2 (COVID-19) RNA [Presence] in Nose by NAA with probe detection"
"Rh, Blood","10331-7","Rh:Type:Pt:Bld:Nom","Rh [Type] in Blood"
"Susceptibility to Rifabutin 0.5 ug/mL","42655-1","Rifabutin 0.5 ug/mL:Susc:Pt:Isolate:OrdQn:Method for Slow-growing mycobacteria","Rifabutin 0.5 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria"
"RSV, Specimen","40988-8","Respiratory syncytial virus RNA:PrThr:Pt:XXX:Ord:Probe.amp.tar","Respiratory syncytial virus RNA [Presence] in Specimen by NAA with probe detection"
"SARS-CoV-2 (COVID-19), Nasopharynx","94759-8","SARS coronavirus 2 RNA:PrThr:Pt:Nph:Ord:Probe.amp.tar","SARS-CoV-2 (COVID-19) RNA [Presence] in Nasopharynx by NAA with probe detection"
"Selenium, Urine","47976-6","Selenium:MCnc:24H:Urine:Qn","Selenium [Mass/volume] in 24 hour Urine"
"Selenium, Blood","5724-0","Selenium:MCnc:Pt:Ser/Plas:Qn","Selenium [Mass/volume] in Serum or Plasma"
"SCL-70 extractable nuclear IgG antibody, Blood","21518-6","SCL-70 extractable nuclear Ab.IgG:PrThr:Pt:Ser:Ord","SCL-70 extractable nuclear IgG Ab [Presence] in Serum"
"Erythrocyte Sedimentation Rate (ESR; Sed Rate), Blood","82477-1","Erythrocyte sedimentation rate:Vel:Pt:Bld:Qn:Photometric","Erythrocyte sedimentation rate by Photometric method"
"Schistosoma sp antibody, Blood","6629-0","Schistosoma sp Ab:PrThr:Pt:Ser:Ord:IA","Schistosoma sp Ab [Presence] in Serum by Immunoassay"
"Serotonin, Urine","18253-5","Serotonin:MRat:24H:Urine:Qn","Serotonin [Mass/time] in 24 hour Urine"
"Salmonella typhi O antibody, Blood","34372-3","Salmonella typhi O Ab:Titr:Pt:Ser:SemiQn:Aggl","Salmonella typhi O Ab [Titer] in Serum by Agglutination"
"Segmented neutrophils per 100 white blood cells, Blood","32200-8","Neutrophils.segmented/100 leukocytes:NFr:Pt:Bld:Qn:Automated count","Segmented neutrophils/100 leukocytes in Blood by Automated count"
"Selenium/Creatinine, Urine","13467-6","Selenium/Creatinine:MRto:Pt:Urine:Qn","Selenium/Creatinine [Mass Ratio] in Urine"
"Serotonin, Blood","27057-9","Serotonin:MCnc:Pt:Ser:Qn","Serotonin [Mass/volume] in Serum"
"Orientia tsutsugamushi IgM antibody, Blood","33896-2","Orientia tsutsugamushi Ab.IgM:PrThr:Pt:Ser/Plas:Ord:IA","Orientia tsutsugamushi IgM Ab [Presence] in Serum or Plasma by Immunoassay"
"SS18 gene rearrangements, Tissue","93810-0","SS18 gene rearrangements:Find:Pt:Tiss:Doc:FISH","SS18 gene rearrangements in Tissue by FISH"
"Soluble liver antibody, Blood","32219-8","Soluble liver Ab:ACnc:Pt:Ser:Qn:IA","Soluble liver Ab [Units/volume] in Serum by Immunoassay"
"Lithium, Blood","14334-7","Lithium:SCnc:Pt:Ser/Plas:Qn","Lithium [Moles/volume] in Serum or Plasma"
"Coagulation Factor VIII, Specimen","21001-3","Coagulation factor VIII:Imp:Pt:XXX:Nom","Coagulation factor VIII [Interpretation] in Specimen"
"Chlamydia trachomatis, Urethra","21191-2","Chlamydia trachomatis DNA:PrThr:Pt:Urethra:Ord:Probe.amp.tar","Chlamydia trachomatis DNA [Presence] in Urethra by NAA with probe detection"
"Norsertraline, Blood","6897-3","Norsertraline:MCnc:Pt:Ser/Plas:Qn","Norsertraline [Mass/volume] in Serum or Plasma"
"Sesame seed allergy test","6242-2","Sesamum indicum Ab.IgE:ACnc:Pt:Ser:Qn","Sesame Seed IgE Ab [Units/volume] in Serum"
"Selenium, Blood","5722-4","Selenium:MCnc:Pt:Bld:Qn","Selenium [Mass/volume] in Blood"
"Specimen drawn, Blood","19151-0","Specimen drawn:TmStp:Pt:Ser/Plas:Qn","Specimen drawn [Date and time] of Serum or Plasma"
"Specific gravity, Red blood cells","53555-9","Specific gravity:Rden:Pt:RBC:Qn","Specific gravity of Red Blood Cells"
"Herpes simplex virus 2 (HSV 2) IgG antibody 1st specimen/2nd specimen, Blood","32834-4","Herpes simplex virus 2 Ab.IgG^1st specimen/2nd specimen:Ratio:Pt:Ser:Qn","Herpes simplex virus 2 IgG Ab [Ratio] in Serum --1st specimen/2nd specimen"
"Neisseria meningitidis serogroup w135 antigen, Specimen","30097-0","Neisseria meningitidis serogroup w135 Ag:PrThr:Pt:XXX:Ord:LA","Neisseria meningitidis serogroup w135 Ag [Presence] in Specimen by Latex agglutination"
"Insulin-like growth factor binding protein 3.acid labile, Blood","38491-7","Insulin-like growth factor binding protein 3.acid labile:MCnc:Pt:Ser/Plas:Qn","Insulin-like growth factor binding protein 3.acid labile [Mass/volume] in Serum or Plasma"
"Metanephrine, Urine","19049-6","Metanephrine:MRat:24H:Urine:Qn","Metanephrine [Mass/time] in 24 hour Urine"
"Hepatitis B virus (HBV) Surface antigen, Blood","65633-0","Hepatitis B virus surface Ag:PrThr:Pt:Ser/Plas:Ord:Confirm","Hepatitis B virus surface Ag [Presence] in Serum or Plasma by Confirmatory method"
"Hepatitis B virus (HBV), Tissue","5008-8","Hepatitis B virus DNA:PrThr:Pt:Tiss:Ord:Probe.amp.tar","Hepatitis B virus DNA [Presence] in Tissue by NAA with probe detection"
"Herpes simplex virus 1 (HSV 1) IgM antibody, Blood","32687-6","Herpes simplex virus 1 Ab.IgM:PrThr:Pt:Ser:Ord","Herpes simplex virus 1 IgM Ab [Presence] in Serum"
"Hepatitis A virus (HAV) IgG antibody, Blood","40724-7","Hepatitis A virus Ab.IgG:PrThr:Pt:Ser:Ord:IA","Hepatitis A virus IgG Ab [Presence] in Serum by Immunoassay"
"Histoplasma capsulatum antigen, Blood","19108-0","Histoplasma capsulatum Ag:PrThr:Pt:Ser:Ord","Histoplasma capsulatum Ag [Presence] in Serum"
"Beta-N-acetylhexosaminidase.A, Blood","1956-2","Beta-N-acetylhexosaminidase.A:CCnc:Pt:Ser/Plas:Qn","Beta-N-acetylhexosaminidase.A [Enzymatic activity/volume] in Serum or Plasma"
"HIV 1 P24 antigen, Blood","18396-2","HIV 1 p24 Ag:PrThr:Pt:Ser/Plas:Ord:IA","HIV 1 p24 Ag [Presence] in Serum or Plasma by Immunoassay"
"HIV 1+2 antibody, Blood","31201-7","HIV 1+2 Ab:PrThr:Pt:Ser/Plas:Ord:IA","HIV 1+2 Ab [Presence] in Serum or Plasma by Immunoassay"
"Herpes simplex virus 2 (HSV 2) IgM antibody, Blood","44494-3","Herpes simplex virus 2 Ab.IgM:PrThr:Pt:Ser:Ord:IA","Herpes simplex virus 2 IgM Ab [Presence] in Serum by Immunoassay"
"Herpes simplex virus (HSV) 1+2 IgM antibody, Blood","90464-9","Herpes simplex virus 1+2 Ab.IgM:PrThr:Pt:Ser:Ord:IA","Herpes simplex virus 1+2 IgM Ab [Presence] in Serum by Immunoassay"
"HEV IgG antibody, Blood","49693-5","Hepatitis E virus Ab.IgG:PrThr:Pt:Ser:Ord:IA","Hepatitis E virus IgG Ab [Presence] in Serum by Immunoassay"
"Helicobacter pylori IgG antibody, Blood","7902-0","Helicobacter pylori Ab.IgG:ACnc:Pt:Ser:Qn","Helicobacter pylori IgG Ab [Units/volume] in Serum"
"HEV IgM antibody, Blood","83128-9","Hepatitis E virus Ab.IgM:PrThr:Pt:Ser/Plas:Ord:IA","Hepatitis E virus IgM Ab [Presence] in Serum or Plasma by Immunoassay"
"Hepatitis B virus (HBV) Core antibody, Blood","13952-7","Hepatitis B virus core Ab:PrThr:Pt:Ser/Plas:Ord:IA","Hepatitis B virus core Ab [Presence] in Serum or Plasma by Immunoassay"
"Hepatitis B virus (HBV) e antigen, Blood","13954-3","Hepatitis B virus little e Ag:PrThr:Pt:Ser/Plas:Ord:IA","Hepatitis B virus e Ag [Presence] in Serum or Plasma by Immunoassay"
"Hepatitis B virus (HBV) Surface antigen, Blood","63557-3","Hepatitis B virus surface Ag:ACnc:Pt:Ser/Plas:Qn:IA","Hepatitis B virus surface Ag [Units/volume] in Serum or Plasma by Immunoassay"
"HDV IgG antibody, Blood","35273-2","Hepatitis D virus Ab.IgG:PrThr:Pt:Ser:Ord:IA","Hepatitis D virus IgG Ab [Presence] in Serum by Immunoassay"
"Helicobacter pylori IgA antibody, Blood","7901-2","Helicobacter pylori Ab.IgA:ACnc:Pt:Ser:Qn","Helicobacter pylori IgA Ab [Units/volume] in Serum"
"Metanephrines/Creatinine, Urine","32655-3","Metanephrines/Creatinine:MRto:24H:Urine:Qn","Metanephrines/Creatinine [Mass Ratio] in 24 hour Urine"
"Neisseria meningitidis serogroup C antigen, Spinal fluid","6500-3","Neisseria meningitidis serogroup C Ag:PrThr:Pt:CSF:Ord:LA","Neisseria meningitidis serogroup C Ag [Presence] in Cerebral spinal fluid by Latex agglutination"
"Helicobacter pylori IgG antibody, Blood","17859-0","Helicobacter pylori Ab.IgG:PrThr:Pt:Ser/Plas:Ord:IA","Helicobacter pylori IgG Ab [Presence] in Serum or Plasma by Immunoassay"
"Jo-1 extractable nuclear antibody, Blood","56731-3","Jo-1 extractable nuclear Ab:PrThr:Pt:Ser:Ord:IB","Jo-1 extractable nuclear Ab [Presence] in Serum by Immunoblot"
"Haemophilus influenzae B antigen, Urine","15379-1","Haemophilus influenzae B Ag:PrThr:Pt:Urine:Ord","Haemophilus influenzae B Ag [Presence] in Urine"
"Hepatitis B virus (HBV) e antibody, Blood","13953-5","Hepatitis B virus little e Ab:PrThr:Pt:Ser/Plas:Ord:IA","Hepatitis B virus e Ab [Presence] in Serum or Plasma by Immunoassay"
"Cotinine, Urine","10366-3","Cotinine:MCnc:Pt:Urine:Qn","Cotinine [Mass/volume] in Urine"
"Acetaminophen, Blood","3297-9","Acetaminophen:PrThr:Pt:Ser/Plas:Ord","Acetaminophen [Presence] in Serum or Plasma"
"Acetaminophen allergy test","6711-6","Acetaminophen Ab.IgE:ACnc:Pt:Ser:Qn","Acetaminophen IgE Ab [Units/volume] in Serum"
"Helicobacter pylori IgM antibody, Blood","46987-4","Helicobacter pylori Ab.IgM:PrThr:Pt:Ser:Ord:IA","Helicobacter pylori IgM Ab [Presence] in Serum by Immunoassay"
"Leptospira sp IgG antibody, Blood","51815-9","Leptospira sp Ab.IgG:ACnc:Pt:Ser:Qn:IA","Leptospira sp IgG Ab [Units/volume] in Serum by Immunoassay"
"Neisseria meningitidis serogroup w135 antigen, Blood","17333-6","Neisseria meningitidis serogroup w135 Ag:PrThr:Pt:Ser/Plas:Ord:LA","Neisseria meningitidis serogroup w135 Ag [Presence] in Serum or Plasma by Latex agglutination"
"Hepatitis B virus (HBV) Surface antibody, Blood","5193-8","Hepatitis B virus surface Ab:ACnc:Pt:Ser/Plas:Qn:IA","Hepatitis B virus surface Ab [Units/volume] in Serum or Plasma by Immunoassay"
"Parvovirus B19 IgM antibody, Blood","7984-8","Parvovirus B19 Ab.IgM:ACnc:Pt:Ser:Qn","Parvovirus B19 IgM Ab [Units/volume] in Serum"
"Haemophilus influenzae B antigen, Blood","43429-0","Haemophilus influenzae B Ag:PrThr:Pt:Ser:Ord","Haemophilus influenzae B Ag [Presence] in Serum"
"PHENobarbital, Blood","3948-7","PHENobarbital:MCnc:Pt:Ser/Plas:Qn","PHENobarbital [Mass/volume] in Serum or Plasma"
"Specimen type, Specimen","66746-9","Specimen type:Type:Pt:Specimen:Nom","Specimen type"
"Streptococcus pneumoniae nanA gene, Swab specimen","76572-7","Streptococcus pneumoniae nanA gene:PrThr:Pt:XXX.swab:Ord:Probe.amp.tar","Streptococcus pneumoniae nanA gene [Presence] in Swab specimen by NAA with probe detection"
"Spermatozoa, Semen","9780-8","Spermatozoa:NCnc:Pt:Semen:Qn","Spermatozoa [#/volume] in Semen"
"Red Blood Cell Distribution Width (RDW), Red blood cells","788-0","Erythrocyte distribution width:Ratio:Pt:RBC:Qn:Automated count","Erythrocyte distribution width [Ratio] by Automated count"
"Chlamydia trachomatis, Specimen","21613-5","Chlamydia trachomatis DNA:PrThr:Pt:XXX:Ord:Probe.amp.tar","Chlamydia trachomatis DNA [Presence] in Specimen by NAA with probe detection"
"Phenylalanine, Dried blood spot","29572-5","Phenylalanine:MCnc:Pt:Bld.dot:Qn","Phenylalanine [Mass/volume] in DBS"
"Sjogrens syndrome-A extractable nuclear antibody, Blood","56724-8","Sjogrens syndrome-A extractable nuclear Ab:PrThr:Pt:Ser:Ord:IB","Sjogrens syndrome-A extractable nuclear Ab [Presence] in Serum by Immunoblot"
"Red Blood Cell (RBC) Count, Blood","789-8","Erythrocytes:NCnc:Pt:Bld:Qn:Automated count","Erythrocytes [#/volume] in Blood by Automated count"
"Spermatozoa antibody, Blood","5362-9","Spermatozoa Ab:ACnc:Pt:Ser:Qn","Spermatozoa Ab [Units/volume] in Serum"
"Ma+Ta antibody, Blood","82423-5","Ma+Ta Ab:PrThr:Pt:Ser:Ord:Line blot","Ma+Ta Ab [Presence] in Serum by Line blot"
"Cytomegalovirus (CMV), Tissue","4998-1","Cytomegalovirus DNA:PrThr:Pt:Tiss:Ord:Probe.amp.tar","Cytomegalovirus DNA [Presence] in Tissue by NAA with probe detection"
"Herpes simplex virus (HSV), Spinal fluid","5013-8","Herpes simplex virus DNA:PrThr:Pt:CSF:Ord:Probe.amp.tar","Herpes simplex virus DNA [Presence] in Cerebral spinal fluid by NAA with probe detection"
"Parathyrin.intact, Blood","2731-8","Parathyrin.intact:MCnc:Pt:Ser/Plas:Qn","Parathyrin.intact [Mass/volume] in Serum or Plasma"
"Streptococcus agalactiae antigen, Spinal fluid","14323-0","Streptococcus agalactiae Ag:PrThr:Pt:CSF:Ord:LA","Streptococcus agalactiae Ag [Presence] in Cerebral spinal fluid by Latex agglutination"
"Streptococcus pneumoniae, Sputum","92948-9","Streptococcus pneumoniae DNA:NCncRange:Pt:Sputum:SemiQn:Non-probe.amp.tar","Streptococcus pneumoniae DNA [NCncRange] in Sputum Qualitative by NAA with non-probe detection"
"Prolactin, Blood","20568-2","Prolactin:MCnc:Pt:Ser/Plas:Qn:IA","Prolactin [Mass/volume] in Serum or Plasma by Immunoassay"
"Eosinophils, Sputum","50341-7","Eosinophils:PrThr:Pt:Sputum:Ord:Hansel stain","Eosinophils [Presence] in Sputum by Hansel stain"
"Leishmania sp antibody, Blood","23153-0","Leishmania sp Ab:PrThr:Pt:Ser:Ord:IA","Leishmania sp Ab [Presence] in Serum by Immunoassay"
