"General Name","LOINC Code","Fully-Specified Name (FSN)","Long Common Name"
"Coconut allergy test","6081-4","Cocos nucifera Ab.IgE:ACnc:Pt:Ser:Qn","Coconut IgE Ab [Units/volume] in Serum"
"Corn allergy test","6087-1","Zea mays Ab.IgE:ACnc:Pt:Ser:Qn","Corn IgE Ab [Units/volume] in Serum"
"Cauliflower allergy test","6835-3","Brassica oleracea var botrytis Ab.IgE:ACnc:Pt:Ser:Qn","Cauliflower IgE Ab [Units/volume] in Serum"
"Clostridioides difficile toxin A+B, Stool","34713-8","Clostridioides difficile toxin A+B:PrThr:Pt:Stool:Ord","Clostridioides difficile toxin A+B [Presence] in Stool"
"Urea Nitrogen (BUN), Blood","3094-0","Urea nitrogen:MCnc:Pt:Ser/Plas:Qn","Urea nitrogen [Mass/volume] in Serum or Plasma"
"Bleeding time","11067-6","Bleeding time:Time:Pt:^Patient:Qn","Bleeding time"
"aPTT, control Blood","13488-2","Coagulation surface induced:Time:Pt:PPP^Control:Qn:Coag","aPTT in Control Platelet poor plasma by Coagulation assay"
"Creatinine, Urine","57346-9","Creatinine:MCnc:12H:Urine:Qn","Creatinine [Mass/volume] in 12 hour Urine"
"Crystals, Semen","98028-4","Crystals:Prid:Pt:Semen:Nom:Microscopy.light","Crystals [type] in Semen by Light microscopy"
"Culture, Blood","600-7","Bacteria identified:Prid:Pt:Bld:Nom:Culture","Bacteria identified in Blood by Culture"
"Susceptibility to Fluconazole","18924-1","Fluconazole:Susc:Pt:Isolate:OrdQn","Fluconazole [Susceptibility]"
"Silver birch allergy test","15283-5","Betula verrucosa Ab.IgE:ACnc:Pt:Ser:Qn","Silver Birch IgE Ab [Units/volume] in Serum"
"Coproporphyrin 3, Urine","6878-3","Coproporphyrin 3:MRat:24H:Urine:Qn","Coproporphyrin 3 [Mass/time] in 24 hour Urine"
"Appearance, Blood","38196-2","Appearance:Aper:Pt:Bld:Nom","Appearance of Blood"
"Crab allergy test","6092-1","Cancer pagurus Ab.IgE:ACnc:Pt:Ser:Qn","Crab IgE Ab [Units/volume] in Serum"
"Immunoglobulin light chains, Urine","31152-2","Immunoglobulin light chains:PrThr:24H:Urine:Ord","Immunoglobulin light chains [Presence] in 24 hour Urine"
"Copper, Urine","21219-1","Copper:MCnc:24H:Urine:Qn","Copper [Mass/volume] in 24 hour Urine"
"Apolipoprotein A-I, Blood","1869-7","Apolipoprotein A-I:MCnc:Pt:Ser/Plas:Qn","Apolipoprotein A-I [Mass/volume] in Serum or Plasma"
"Cobalt, Blood","5627-5","Cobalt:MCnc:Pt:Ser/Plas:Qn","Cobalt [Mass/volume] in Serum or Plasma"
"Alternaria alternata allergy test","6020-2","Alternaria alternata Ab.IgE:ACnc:Pt:Ser:Qn","Alternaria alternata IgE Ab [Units/volume] in Serum"
"Common pigweed allergy test","7604-2","Pigweed common Ab.IgE:ACnc:Pt:Ser:Qn","Common Pigweed IgE Ab [Units/volume] in Serum"
"Cadmium, Urine","5611-9","Cadmium:MCnc:Pt:Urine:Qn","Cadmium [Mass/volume] in Urine"
"Codeine, Urine","16250-3","Codeine:MCnc:Pt:Urine:Qn:Confirm","Codeine [Mass/volume] in Urine by Confirmatory method"
"Banana allergy test","6035-0","Musa spp Ab.IgE:ACnc:Pt:Ser:Qn","Banana IgE Ab [Units/volume] in Serum"
"Chromium, Urine","5623-4","Chromium:MCnc:Pt:Urine:Qn","Chromium [Mass/volume] in Urine"
"Arsenic, Urine","5586-3","Arsenic:MCnc:Pt:Urine:Qn","Arsenic [Mass/volume] in Urine"
"Apolipoprotein B, Blood","1884-6","Apolipoprotein B:MCnc:Pt:Ser/Plas:Qn","Apolipoprotein B [Mass/volume] in Serum or Plasma"
"Albumin, Blood","1751-7","Albumin:MCnc:Pt:Ser/Plas:Qn","Albumin [Mass/volume] in Serum or Plasma"
"Calcium, Blood","17861-6","Calcium:MCnc:Pt:Ser/Plas:Qn","Calcium [Mass/volume] in Serum or Plasma"
"Aluminum, Urine","6929-4","Aluminum:MCnc:24H:Urine:Qn","Aluminum [Mass/volume] in 24 hour Urine"
"CD138 antigen, Tissue","50309-4","CD138 Ag:PrThr:Pt:Tiss:Ord:Immune stain","CD138 Ag [Presence] in Tissue by Immune stain"
"Prostatic acid phosphatase, Blood","1714-5","Acid phosphatase.prostatic:CCnc:Pt:Ser:Qn","Prostatic acid phosphatase [Enzymatic activity/volume] in Serum"
"Blood, Urine","53963-5","Blood:PrThr:Pt:Urine:Ord:Visual","Blood [Presence] in Urine by Visual"
"Adenosine deaminase, Blood","47826-3","Adenosine deaminase:CCnc:Pt:Ser/Plas:Qn","Adenosine deaminase [Enzymatic activity/volume] in Serum or Plasma"
"BODY SURFACE AREA","8277-6","Body surface:Area:Pt:^Patient:Qn","Body surface area"
"Beef allergy test","6039-2","Beef Ab.IgE:ACnc:Pt:Ser:Qn","Beef IgE Ab [Units/volume] in Serum"
"Band form neutrophils per 100 white blood cells, Blood","26508-2","Neutrophils.band form/100 leukocytes:NFr:Pt:Bld:Qn","Band form neutrophils/100 leukocytes in Blood"
