Identifier	Dose Form	
420536002	Vaginal powder
420509004	Oral granules
420378007	Prolonged-release film-coated oral tablet
420293008	Oral coated pellets capsule
420292003	Rectal powder
420283001	Nasal emulsion
414951009	Oral elixir	
385279006	Cutaneous suspension spray
385278003	Cutaneous powder spray
385260008	Gastroenteral emulsion
385259003	Gastroenteral suspension
385258006	Gastroenteral solution
385251000	Endocervical gel
385250004	Suspension for endotracheopulmonary instillation
385247002	Solution for endotracheopulmonary instillation
385246006	Urethral stick
385245005	Urethral gel
385242008	Intravesical solution
385229008	Solution for infusion
385224003	Powder for suspension for injection
385223009	Powder for solution for injection
385221006	Emulsion for injection
385220007	Suspension for injection
385219001	Solution for injection
385217004	Gas for inhalation
385207009	Powder for inhalation
385206000	Pressurized emulsion for inhalation
385205001	Pressurized suspension for inhalation
385204002	Pressurized solution for inhalation
385202003	Emulsion for nebulizer
385201005	Powder for nebuliser solution
385200006	Powder for nebuliser suspension
385199008	Suspension for nebulizer
385198000	Solution for nebulizer
385196001	Rectal tampon
385195002	Rectal capsule
385193009	Tablet for rectal suspension
385192004	Tablet for rectal solution
385191006	Powder for rectal suspension
385189003	Rectal emulsion
385188006	Rectal suspension
385187001	Rectal solution
385185009	Rectal foam
385184008	Rectal ointment
385183002	Rectal gel
385182007	Rectal cream
385179002	Effervescent vaginal tablet
385178005	Vaginal tablet
385177000	Soft vaginal capsule
385176009	Hard vaginal capsule
385175008	Vaginal capsule
385173001	Tablet for vaginal solution
385172006	Vaginal emulsion
385171004	Vaginal suspension
385170003	Vaginal solution
385168007	Vaginal foam
385167002	Vaginal ointment
385166006	Vaginal gel
385165005	Vaginal cream
385164009	Ear and eye and nose ointment
385163003	Ear and eye and nose drops
385162008	Nasal stick
385160000	Nasal emulsion spray
385159005	Nasal suspension spray
385158002	Nasal solution spray
385157007	Nasal spray
385156003	Nasal powder
385155004	Nasal drops emulsion
385154000	Nasal drops suspension
385153006	Nasal drops solution
385152001	Nasal drops
385151008	Nasal ointment
385150009	Nasal gel
385149009	Nasal cream
385148001	Otic stick
385147006	Ear tampon
385143005	Ear spray emulsion
385142000	Ear spray suspension
385141007	Ear spray solution
385140008	Ear spray
385139006	Ear powder
385138003	Ear drops emulsion
385137008	Ear drops solution
385136004	Ear drops
385135000	Ear ointment
385134001	Ear gel
385133007	Ear cream
385132002	Prolonged-release ophthalmic insert
385128008	Prolonged-release eye drops
385125006	Eye drops solution
385124005	Eye drops
385123004	Eye ointment
385122009	Eye gel
385121002	Eye cream
385119007	Cutaneous sponge
385118004	Cutaneous stick
385114002	Prolonged-release transdermal patch
385113008	Solution for iontophoresis
385112003	Cutaneous powder
385111005	Cutaneous emulsion
385110006	Cutaneous suspension
385108009	Cutaneous solution
385106008	Cutaneous solution spray
385105007	Cutaneous spray
385103000	Cutaneous foam
385102005	Cutaneous paste
385096003	Dental emulsion
385095004	Dental suspension
385094000	Dental solution
385091008	Dental powder
385090009	Prolonged-release dental insert
385089000	Dental stick
385088008	Dental gel
385086007	Prolonged-release muco-adhesive buccal tablet
385085006	Buccal tablet
385084005	Sublingual tablet
385082009	Gingival paste
385081002	Gingival gel
385079004	Oromucosal paste
385078007	Oromucosal gel
385077002	Gingival solution
385074009	Sublingual spray
385073003	Oromucosal spray
385072008	Oromucosal drops
385071001	Oromucosal suspension
385070000	Oromucosal solution
385065007	Oromucosal solution for gargle
385063000	Prolonged-release oral gum
385062005	Oral lyophilisate
385061003	Modified-release oral tablet
385060002	Prolonged-release oral tablet
385059007	Gastro-resistant oral tablet
385054002	Modified-release oral capsule
385053008	Prolonged-release oral capsule
385052003	Gastro-resistant oral capsule
385047008	Modified-release oral granules
385046004	Prolonged-release oral granules
385045000	Gastro-resistant oral granules
385044001	Effervescent oral granules
385041009	Oral powder
385039008	Oral paste
385038000	Oral gel
385034003	Granules for oral syrup
385033009	Powder for oral syrup
385032004	Oral syrup
385029002	Granules for oral suspension
385028005	Granules for oral solution
385027000	Powder for oral suspension
385026009	Powder for oral solution
385025008	Oral emulsion
385024007	Oral suspension
385023001	Oral solution
385021004	Oral drops emulsion
385020003	Oral drops suspension
385019009	Oral drops solution
385018001	Oral drops
70409003	Oromucosal solution for mouthwash
66076007	Chewable tablet
